conjunto,lado,matches,inliers,proporcion,rmse_px,mediana_px,maximo_px
cuadro,izquierda,81,33,0.4074074074074074,2.4475610713404605,2.0158332329464423,4.116225550050604
cuadro,derecha,65,15,0.23076923076923078,2.5305220995451774,1.9498112095263103,4.10809486712423
propia,izquierda,86,71,0.8255813953488372,1.3275165301204506,0.7793023105464052,3.559522190031614
propia,derecha,107,76,0.7102803738317757,1.442312948627335,1.166160820898589,3.447491559955834
udesa,izquierda,88,67,0.7613636363636364,0.754234116638537,0.5353681477100574,2.5005303860967536
udesa,derecha,29,17,0.5862068965517241,1.683287946887902,1.3238773238554282,3.6553297134731353
